Reading;Sample;;Start Time;Duration;Max Time;Max;;Average;;Min Time;Min;;Description;Stop Time
30;0,1122;A AC;19.01.22 8:01:20,5;0:00:05,0;19.01.22 8:01:21,3;0,1162;A AC;0,112392;A AC;19.01.22 8:01:24,4;0,1117;A AC;Interval;19.01.22 8:01:25,5
31;0,1123;A AC;19.01.22 8:01:25,5;0:00:04,9;19.01.22 8:01:28,3;0,1126;A AC;0,112465306122449;A AC;19.01.22 8:01:25,5;0,1123;A AC;Interval;19.01.22 8:01:30,5
32;0,1126;A AC;19.01.22 8:01:30,5;0:00:05,0;19.01.22 8:01:33,3;0,1161;A AC;0,11276;A AC;19.01.22 8:01:34,7;0,1123;A AC;Interval;19.01.22 8:01:35,5
33;0,1123;A AC;19.01.22 8:01:35,5;0:00:05,0;19.01.22 8:01:36,0;0,1179;A AC;0,112966;A AC;19.01.22 8:01:36,9;0,1121;A AC;Interval;19.01.22 8:01:40,5
34;0,1136;A AC;19.01.22 8:01:40,5;0:00:04,7;19.01.22 8:01:45,1;0,1268;A AC;0,11408085106383;A AC;19.01.22 8:01:44,1;0,1128;A AC;Stable;19.01.22 8:01:45,2
35;0,137;A AC;19.01.22 8:01:45,2;0:00:00,1;19.01.22 8:01:45,2;0,137;A AC;0,137;A AC;19.01.22 8:01:45,2;0,137;A AC;Unstable;19.01.22 8:01:45,3
36;0,1759;A AC;19.01.22 8:01:45,3;0:00:00,1;19.01.22 8:01:45,3;0,1759;A AC;0,1759;A AC;19.01.22 8:01:45,3;0,1759;A AC;Interval;19.01.22 8:01:45,4
37;0,1901;A AC;19.01.22 8:01:45,4;0:00:02,9;19.01.22 8:01:47,2;0,2508;A AC;0,220006896551724;A AC;19.01.22 8:01:46,4;0,1825;A AC;Unstable;19.01.22 8:01:48,4
38;0,2059;A AC;19.01.22 8:01:48,4;0:00:02,1;19.01.22 8:01:49,0;0,2196;A AC;0,2055;A AC;19.01.22 8:01:49,8;0,2023;A AC;Interval;19.01.22 8:01:50,5
39;0,2049;A AC;19.01.22 8:01:50,5;0:00:02,9;19.01.22 8:01:51,5;0,2569;A AC;0,219444827586207;A AC;19.01.22 8:01:51,0;0,1353;A AC;Unstable;19.01.22 8:01:53,4
40;0,2535;A AC;19.01.22 8:01:53,4;0:00:01,9;19.01.22 8:01:53,9;0,2681;A AC;0,262536842105263;A AC;19.01.22 8:01:53,4;0,2535;A AC;Stable;19.01.22 8:01:55,3
41;0,2384;A AC;19.01.22 8:01:55,3;0:00:00,1;19.01.22 8:01:55,3;0,2384;A AC;0,2384;A AC;19.01.22 8:01:55,3;0,2384;A AC;Unstable;19.01.22 8:01:55,4
42;0,1997;A AC;19.01.22 8:01:55,4;0:00:00,1;19.01.22 8:01:55,4;0,1997;A AC;0,1997;A AC;19.01.22 8:01:55,4;0,1997;A AC;Interval;19.01.22 8:01:55,5
43;0,2055;A AC;19.01.22 8:01:55,5;0:00:02,7;19.01.22 8:01:58,1;0,3014;A AC;0,22737037037037;A AC;19.01.22 8:01:55,7;0,1393;A AC;Unstable;19.01.22 8:01:58,2
44;0,3255;A AC;19.01.22 8:01:58,2;0:00:01,3;19.01.22 8:01:58,4;0,3401;A AC;0,3362;A AC;19.01.22 8:01:58,2;0,3255;A AC;Stable;19.01.22 8:01:59,5
45;0,2894;A AC;19.01.22 8:01:59,5;0:00:00,8;19.01.22 8:01:59,5;0,2894;A AC;0,2062;A AC;19.01.22 8:01:59,9;0,1405;A AC;Unstable;19.01.22 8:02:00,3
46;0,2368;A AC;19.01.22 8:02:00,3;0:00:00,1;19.01.22 8:02:00,3;0,2368;A AC;0,2368;A AC;19.01.22 8:02:00,3;0,2368;A AC;Interval;19.01.22 8:02:00,4
47;0,254;A AC;19.01.22 8:02:00,4;0:00:04,4;19.01.22 8:02:02,6;0,3644;A AC;0,265302272727273;A AC;19.01.22 8:02:04,2;0,1454;A AC;Unstable;19.01.22 8:02:04,9
48;0,2312;A AC;19.01.22 8:02:04,9;0:00:00,6;19.01.22 8:02:05,0;0,2435;A AC;0,2346;A AC;19.01.22 8:02:05,4;0,227;A AC;Interval;19.01.22 8:02:05,5
49;0,2081;A AC;19.01.22 8:02:05,5;0:00:01,2;19.01.22 8:02:06,6;0,3584;A AC;0,2442;A AC;19.01.22 8:02:05,6;0,2071;A AC;Unstable;19.01.22 8:02:06,7
50;0,3789;A AC;19.01.22 8:02:06,7;0:00:01,1;19.01.22 8:02:07,0;0,3873;A AC;0,385627272727273;A AC;19.01.22 8:02:06,7;0,3789;A AC;Stable;19.01.22 8:02:07,8
51;0,3633;A AC;19.01.22 8:02:07,8;0:00:02,1;19.01.22 8:02:07,8;0,3633;A AC;0,235809523809524;A AC;19.01.22 8:02:08,4;0,143;A AC;Unstable;19.01.22 8:02:09,9
52;0,2404;A AC;19.01.22 8:02:09,9;0:00:00,6;19.01.22 8:02:10,0;0,2511;A AC;0,238816666666667;A AC;19.01.22 8:02:10,4;0,2284;A AC;Interval;19.01.22 8:02:10,5
53;0,2216;A AC;19.01.22 8:02:10,5;0:00:00,4;19.01.22 8:02:10,8;0,3494;A AC;0,2635;A AC;19.01.22 8:02:10,5;0,2216;A AC;Unstable;19.01.22 8:02:10,9
54;0,3737;A AC;19.01.22 8:02:10,9;0:00:01,3;19.01.22 8:02:11,6;0,3869;A AC;0,382830769230769;A AC;19.01.22 8:02:12,1;0,37;A AC;Stable;19.01.22 8:02:12,2
55;0,3587;A AC;19.01.22 8:02:12,2;0:00:02,9;19.01.22 8:02:12,2;0,3587;A AC;0,234713793103448;A AC;19.01.22 8:02:12,6;0,1493;A AC;Unstable;19.01.22 8:02:15,1
56;0,364;A AC;19.01.22 8:02:15,1;0:00:00,4;19.01.22 8:02:15,4;0,3859;A AC;0,377425;A AC;19.01.22 8:02:15,1;0,364;A AC;Interval;19.01.22 8:02:15,5
57;0,3856;A AC;19.01.22 8:02:15,5;0:00:01,1;19.01.22 8:02:16,2;0,3875;A AC;0,386236363636364;A AC;19.01.22 8:02:16,5;0,3822;A AC;Stable;19.01.22 8:02:16,6
58;0,3326;A AC;19.01.22 8:02:16,6;0:00:02,9;19.01.22 8:02:19,4;0,352;A AC;0,235227586206897;A AC;19.01.22 8:02:17,0;0,1454;A AC;Unstable;19.01.22 8:02:19,5
59;0,3774;A AC;19.01.22 8:02:19,5;0:00:00,9;19.01.22 8:02:20,3;0,3869;A AC;0,383877777777778;A AC;19.01.22 8:02:19,5;0,3774;A AC;Interval;19.01.22 8:02:20,4
60;0,3813;A AC;19.01.22 8:02:20,4;0:00:03,4;19.01.22 8:02:20,6;0,3862;A AC;0,2591;A AC;19.01.22 8:02:21,4;0,1464;A AC;Unstable;19.01.22 8:02:23,9
