Configurations,Start Time,Stop Time
-v original -w 16 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:04:56 CET 2022, Wed Jan 19 08:05:00 CET 2022
-v original -w 18 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:05:00 CET 2022, Wed Jan 19 08:05:05 CET 2022
-v original -w 20 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:05:05 CET 2022, Wed Jan 19 08:05:09 CET 2022
-v original -w 22 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:05:09 CET 2022, Wed Jan 19 08:05:14 CET 2022
-v original -w 24 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:05:14 CET 2022, Wed Jan 19 08:05:18 CET 2022
-v original -w 26 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:05:18 CET 2022, Wed Jan 19 08:05:23 CET 2022
-v original -w 28 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:05:23 CET 2022, Wed Jan 19 08:05:27 CET 2022
-v original -w 30 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:05:27 CET 2022, Wed Jan 19 08:05:32 CET 2022
-v original -w 32 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:05:32 CET 2022, Wed Jan 19 08:05:37 CET 2022
-v original -w 34 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:05:37 CET 2022, Wed Jan 19 08:05:42 CET 2022
-v original -w 36 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:05:42 CET 2022, Wed Jan 19 08:05:46 CET 2022
-v original -w 38 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:05:46 CET 2022, Wed Jan 19 08:05:51 CET 2022
-v original -w 40 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:05:51 CET 2022, Wed Jan 19 08:05:56 CET 2022
-v original -w 42 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:05:56 CET 2022, Wed Jan 19 08:06:00 CET 2022
-v original -w 44 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:06:00 CET 2022, Wed Jan 19 08:06:05 CET 2022
-v original -w 46 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:06:05 CET 2022, Wed Jan 19 08:06:10 CET 2022
-v original -w 48 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:06:10 CET 2022, Wed Jan 19 08:06:15 CET 2022
-v original -w 50 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:06:15 CET 2022, Wed Jan 19 08:06:20 CET 2022
-v original -w 52 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:06:20 CET 2022, Wed Jan 19 08:06:24 CET 2022
-v original -w 54 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:06:24 CET 2022, Wed Jan 19 08:06:29 CET 2022
-v original -w 56 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:06:29 CET 2022, Wed Jan 19 08:06:34 CET 2022
-v original -w 58 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:06:34 CET 2022, Wed Jan 19 08:06:39 CET 2022
-v original -w 60 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:06:39 CET 2022, Wed Jan 19 08:06:44 CET 2022
-v original -w 62 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:06:44 CET 2022, Wed Jan 19 08:06:49 CET 2022
-v original -w 64 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:06:49 CET 2022, Wed Jan 19 08:06:54 CET 2022
-v original -w 1 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:06:54 CET 2022, Wed Jan 19 08:06:59 CET 2022
-v original -w 2 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:06:59 CET 2022, Wed Jan 19 08:07:04 CET 2022
-v original -w 4 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:07:04 CET 2022, Wed Jan 19 08:07:08 CET 2022
-v original -w 6 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:07:08 CET 2022, Wed Jan 19 08:07:12 CET 2022
-v original -w 8 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:07:12 CET 2022, Wed Jan 19 08:07:17 CET 2022
-v original -w 10 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:07:17 CET 2022, Wed Jan 19 08:07:21 CET 2022
-v original -w 12 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:07:21 CET 2022, Wed Jan 19 08:07:25 CET 2022
-v original -w 14 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:07:25 CET 2022, Wed Jan 19 08:07:30 CET 2022
-v original -w 16 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:07:30 CET 2022, Wed Jan 19 08:07:34 CET 2022
-v original -w 18 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:07:34 CET 2022, Wed Jan 19 08:07:39 CET 2022
-v original -w 20 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:07:39 CET 2022, Wed Jan 19 08:07:43 CET 2022
-v original -w 22 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:07:43 CET 2022, Wed Jan 19 08:07:48 CET 2022
-v original -w 24 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:07:48 CET 2022, Wed Jan 19 08:07:52 CET 2022
-v original -w 26 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:07:52 CET 2022, Wed Jan 19 08:07:57 CET 2022
-v original -w 28 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:07:57 CET 2022, Wed Jan 19 08:08:01 CET 2022
-v original -w 30 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:08:01 CET 2022, Wed Jan 19 08:08:06 CET 2022
-v original -w 32 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:08:06 CET 2022, Wed Jan 19 08:08:11 CET 2022
-v original -w 34 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:08:11 CET 2022, Wed Jan 19 08:08:15 CET 2022
-v original -w 36 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:08:15 CET 2022, Wed Jan 19 08:08:20 CET 2022
-v original -w 38 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:08:20 CET 2022, Wed Jan 19 08:08:25 CET 2022
-v original -w 40 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:08:25 CET 2022, Wed Jan 19 08:08:29 CET 2022
