Reading;Sample;;Start Time;Duration;Max Time;Max;;Average;;Min Time;Min;;Description;Stop Time
30;0,243;A AC;18.01.22 8:50:25,3;0:00:04,9;18.01.22 8:50:27,2;0,3496;A AC;0,2581;A AC;18.01.22 8:50:28,0;0,156;A AC;Unstable;18.01.22 8:50:30,3
31;0,2596;A AC;18.01.22 8:50:30,3;0:00:00,1;18.01.22 8:50:30,3;0,2596;A AC;0,2596;A AC;18.01.22 8:50:30,3;0,2596;A AC;Interval;18.01.22 8:50:30,4
32;0,3331;A AC;18.01.22 8:50:30,4;0:00:00,1;18.01.22 8:50:30,4;0,3331;A AC;0,3331;A AC;18.01.22 8:50:30,4;0,3331;A AC;Unstable;18.01.22 8:50:30,5
33;0,3545;A AC;18.01.22 8:50:30,5;0:00:01,0;18.01.22 8:50:30,7;0,3604;A AC;0,354;A AC;18.01.22 8:50:31,4;0,3396;A AC;Stable;18.01.22 8:50:31,5
34;0,321;A AC;18.01.22 8:50:31,5;0:00:03,2;18.01.22 8:50:34,6;0,3278;A AC;0,236896875;A AC;18.01.22 8:50:32,2;0,1394;A AC;Unstable;18.01.22 8:50:34,7
35;0,3669;A AC;18.01.22 8:50:34,7;0:00:00,7;18.01.22 8:50:35,3;0,3828;A AC;0,379242857142857;A AC;18.01.22 8:50:34,7;0,3669;A AC;Interval;18.01.22 8:50:35,4
36;0,3829;A AC;18.01.22 8:50:35,4;0:00:03,5;18.01.22 8:50:35,7;0,3833;A AC;0,256908571428571;A AC;18.01.22 8:50:36,4;0,1399;A AC;Unstable;18.01.22 8:50:38,9
37;0,374;A AC;18.01.22 8:50:38,9;0:00:01,2;18.01.22 8:50:39,9;0,3836;A AC;0,380308333333333;A AC;18.01.22 8:50:38,9;0,374;A AC;Stable;18.01.22 8:50:40,1
38;0,3516;A AC;18.01.22 8:50:40,1;0:00:00,1;18.01.22 8:50:40,1;0,3516;A AC;0,3516;A AC;18.01.22 8:50:40,1;0,3516;A AC;Unstable;18.01.22 8:50:40,2
39;0,3322;A AC;18.01.22 8:50:40,2;0:00:00,1;18.01.22 8:50:40,2;0,3322;A AC;0,3322;A AC;18.01.22 8:50:40,2;0,3322;A AC;Interval;18.01.22 8:50:40,3
40;0,266;A AC;18.01.22 8:50:40,3;0:00:02,8;18.01.22 8:50:43,0;0,3062;A AC;0,226442857142857;A AC;18.01.22 8:50:40,6;0,1413;A AC;Unstable;18.01.22 8:50:43,1
41;0,3628;A AC;18.01.22 8:50:43,1;0:00:01,5;18.01.22 8:50:44,5;0,3837;A AC;0,379546666666667;A AC;18.01.22 8:50:43,1;0,3628;A AC;Stable;18.01.22 8:50:44,7
42;0,3185;A AC;18.01.22 8:50:44,7;0:00:00,6;18.01.22 8:50:44,7;0,3185;A AC;0,212366666666667;A AC;18.01.22 8:50:45,1;0,1425;A AC;Unstable;18.01.22 8:50:45,3
43;0,2162;A AC;18.01.22 8:50:45,3;0:00:00,1;18.01.22 8:50:45,3;0,2162;A AC;0,2162;A AC;18.01.22 8:50:45,3;0,2162;A AC;Interval;18.01.22 8:50:45,4
44;0,2211;A AC;18.01.22 8:50:45,4;0:00:02,1;18.01.22 8:50:47,4;0,2962;A AC;0,235366666666667;A AC;18.01.22 8:50:46,5;0,2042;A AC;Unstable;18.01.22 8:50:47,5
45;0,3594;A AC;18.01.22 8:50:47,5;0:00:01,6;18.01.22 8:50:47,9;0,3836;A AC;0,37866875;A AC;18.01.22 8:50:49,0;0,3561;A AC;Stable;18.01.22 8:50:49,1
46;0,2914;A AC;18.01.22 8:50:49,1;0:00:01,1;18.01.22 8:50:49,1;0,2914;A AC;0,219036363636364;A AC;18.01.22 8:50:49,5;0,1468;A AC;Unstable;18.01.22 8:50:50,2
47;0,2291;A AC;18.01.22 8:50:50,2;0:00:00,2;18.01.22 8:50:50,3;0,2397;A AC;0,2344;A AC;18.01.22 8:50:50,2;0,2291;A AC;Interval;18.01.22 8:50:50,4
48;0,2328;A AC;18.01.22 8:50:50,4;0:00:01,2;18.01.22 8:50:51,1;0,2493;A AC;0,2332;A AC;18.01.22 8:50:50,9;0,2213;A AC;Stable;18.01.22 8:50:51,6
